Month,State,Model,Price_Per_Unit_INR,GNP_INR,Import_Duties_INR,Units_Sold
2015-02-07,Telangana,Inspiron 15,36953.44,387368974596.38,8144.36,155
2015-02-08,Nagaland,Inspiron 15,48684.66,528102166907.35,6934.81,131
2015-02-09,Himachal Pradesh,Inspiron 15,43803.05,576836656546.57,6200.26,139
2015-02-10,Nagaland,Inspiron 15,37440.76,1716170509898.16,8794.91,183
2015-02-11,Nagaland,Inspiron 15,44903.54,1166323297736.8,3604.96,161
2015-02-12,Himachal Pradesh,Inspiron 15,35687.77,1094442731611.3,5209.13,170
2015-02-13,Nagaland,Inspiron 15,53186.41,318060856551.51,6574.51,118
2015-02-14,Haryana,Inspiron 15,40175.6,1734265417363.93,4700.71,164
2015-02-15,Jharkhand,Inspiron 15,48250.45,1473347176096.12,4847.38,143
2015-02-16,Bihar,Inspiron 15,41234.22,228569887610.0,3972.56,145
2015-02-17,Nagaland,Inspiron 15,45401.36,1444886684736.56,6078.09,151
2015-02-18,Meghalaya,Inspiron 15,45934.21,1132722612951.03,8655.17,135
2015-02-19,Jharkhand,Inspiron 15,38697.09,255278156918.88,2813.76,156
2015-02-20,Mizoram,Inspiron 15,54391.69,970771218904.45,9409.9,140
2015-02-21,Bihar,Inspiron 15,50502.66,1020922945547.09,7201.79,131
2015-02-22,Tripura,Inspiron 15,53789.98,414971626310.22,8409.46,114
2015-02-23,Chhattisgarh,Inspiron 15,52896.55,1896826479300.54,6005.72,129
2015-02-24,Maharashtra,Inspiron 15,46958.0,1714953205813.26,8015.65,163
2015-02-25,Manipur,Inspiron 15,53437.48,1371142440925.31,1145.8,142
2015-02-26,Uttar Pradesh,Inspiron 15,36769.85,978361565901.15,8365.42,154
2015-02-27,Goa,Inspiron 15,38919.66,882354529010.57,1361.25,163
2015-02-28,Uttarakhand,Inspiron 15,35904.55,1336849587586.81,9009.22,174
2015-03-01,Rajasthan,Inspiron 15,41506.61,1136320551873.12,9927.66,154
2015-03-02,Punjab,Inspiron 15,42773.55,218318901175.58,3646.61,149
2015-03-03,Nagaland,Inspiron 15,40426.98,1073755032663.63,2892.87,163
2015-03-04,Himachal Pradesh,Inspiron 15,51574.75,1632166872742.4,7888.27,131
2015-03-05,Rajasthan,Inspiron 15,42135.07,972555767434.22,3277.24,168
2015-03-06,Telangana,Inspiron 15,40618.69,198717497353.11,8790.06,145
2015-03-07,Punjab,Inspiron 15,45853.92,1593928578829.66,1925.58,165
2015-03-08,Kerala,Inspiron 15,37818.48,482591186058.35,2133.6,164
2015-03-09,Goa,Inspiron 15,51043.94,591379586287.27,9812.36,108
2015-03-10,Sikkim,Inspiron 15,36491.01,412942071521.36,7064.55,148
2015-03-11,Nagaland,Inspiron 15,54737.74,727408623255.85,8621.99,128
2015-03-12,Manipur,Inspiron 15,50444.9,1537827860808.41,3918.96,138
2015-03-13,Sikkim,Inspiron 15,38974.31,1086833133057.48,7088.35,152
2015-03-14,Kerala,Inspiron 15,35110.44,489274420886.35,6348.18,156
2015-03-15,Chhattisgarh,Inspiron 15,51309.23,1767877148488.88,6428.35,141
2015-03-16,Himachal Pradesh,Inspiron 15,49137.15,1771205524407.91,7142.79,149
2015-03-17,Tripura,Inspiron 15,49580.14,1754099007587.41,6178.23,133
2015-03-18,Himachal Pradesh,Inspiron 15,50425.41,553712801624.92,4861.56,115
2015-03-19,Odisha,Inspiron 15,36480.89,957354753943.88,3483.3,171
2015-03-20,Rajasthan,Inspiron 15,42169.31,1971480346667.66,7917.23,171
2015-03-21,Tamil Nadu,Inspiron 15,37317.38,1566823704988.98,3036.45,169
2015-03-22,Delhi,Inspiron 15,52262.07,151618100328.56,7231.19,123
2015-03-23,Goa,Inspiron 15,47465.96,223888723394.93,3100.0,144
2015-03-24,Uttarakhand,Inspiron 15,41617.96,981469615943.43,6627.97,144
2015-03-25,Tamil Nadu,Inspiron 15,36271.17,1827518391136.96,7723.7,186
2015-03-26,Madhya Pradesh,Inspiron 15,41219.65,1123533416110.16,2968.43,169
2015-03-27,West Bengal,Inspiron 15,41503.67,1045843765265.15,1539.49,156
2015-03-28,Haryana,Inspiron 15,49592.12,300400029917.6,2178.76,126
2015-03-29,Himachal Pradesh,Inspiron 15,47751.15,1347882198976.16,6453.97,154
2015-03-30,Himachal Pradesh,Inspiron 15,52744.25,1661996005140.43,8645.02,155
2015-03-31,Sikkim,Inspiron 15,44444.3,822798014264.37,1404.97,146
2015-04-01,Meghalaya,Inspiron 15,37391.88,1573662516758.12,7607.36,171
2015-04-02,Jharkhand,Inspiron 15,49264.9,1932505642411.54,4071.87,157
2015-04-03,Tamil Nadu,Inspiron 15,50215.7,487156272342.61,5306.76,129
2015-04-04,Punjab,Inspiron 15,46225.54,1094326299270.01,9359.74,153
2015-04-05,Meghalaya,Inspiron 15,50419.34,645562120360.69,3987.74,125
2015-04-06,Manipur,Inspiron 15,44875.91,1606423396164.29,5188.03,157
2015-04-07,Madhya Pradesh,Inspiron 15,45454.66,1197427395174.2,1123.14,166
2015-04-08,Himachal Pradesh,Inspiron 15,43550.82,1305706593345.58,1734.39,153
2015-04-09,Telangana,Inspiron 15,35508.38,1616036903270.2,3327.32,167
2015-04-10,Sikkim,Inspiron 15,37157.83,852343898058.66,1250.67,179
2015-04-11,Karnataka,Inspiron 15,35628.58,1838671129973.38,6682.38,185
2015-04-12,Himachal Pradesh,Inspiron 15,47728.21,1112754847767.67,4837.59,148
2015-04-13,Meghalaya,Inspiron 15,41287.12,400114163387.16,5933.31,146
2015-04-14,Odisha,Inspiron 15,45171.41,1422208324520.72,2571.82,163
2015-04-15,Tamil Nadu,Inspiron 15,53151.33,1607196565832.68,3663.39,158
2015-04-16,Uttarakhand,Inspiron 15,39985.84,701847186428.3,6974.42,157
2015-04-17,Rajasthan,Inspiron 15,43207.66,1728640588297.63,9687.72,169
2015-04-18,Meghalaya,Inspiron 15,50111.02,1821672184054.96,1453.75,147
2015-04-19,Manipur,Inspiron 15,39575.96,626118526017.84,9013.46,160
2015-04-20,Odisha,Inspiron 15,36539.6,1968690798158.92,6191.93,182
2015-04-21,Gujarat,Inspiron 15,40795.03,367351903292.64,6075.28,146
2015-04-22,Mizoram,Inspiron 15,38224.43,483829769964.73,5502.51,155
2015-04-23,Uttarakhand,Inspiron 15,53593.95,450027194552.25,1624.55,130
2015-04-24,Kerala,Inspiron 15,51162.41,1798580449014.95,1808.89,162
2015-04-25,Telangana,Inspiron 15,47668.08,1343155849417.43,6408.21,137
2015-04-26,Sikkim,Inspiron 15,52429.21,388998138122.32,4068.63,136
2015-04-27,Maharashtra,Inspiron 15,51073.44,936614494899.86,9255.41,128
2015-04-28,Manipur,Inspiron 15,38731.4,1269066247632.62,4659.31,165
2015-04-29,Sikkim,Inspiron 15,52851.18,258581761479.83,2289.53,110
2015-04-30,Manipur,Inspiron 15,45786.84,1776591099973.94,7432.47,161
2015-05-01,Nagaland,Inspiron 15,51148.8,1626846717338.92,3640.18,142
2015-05-02,Tamil Nadu,Inspiron 15,52921.83,1059892869795.61,5729.23,144
2015-05-03,Manipur,Inspiron 15,41360.07,1937540568992.42,7280.5,182
2015-05-04,Maharashtra,Inspiron 15,37201.04,893745860622.69,9102.38,171
2015-05-05,Madhya Pradesh,Inspiron 15,39558.7,1969809606169.35,8129.72,166
2015-05-06,Mizoram,Inspiron 15,43542.16,1369047997726.89,7087.25,170
2015-05-07,Uttar Pradesh,Inspiron 15,51360.3,1305875419182.49,7116.7,130
2015-05-08,Punjab,Inspiron 15,52214.61,415314301061.99,9513.32,141
2015-05-09,West Bengal,Inspiron 15,35139.04,1775662740778.82,3662.42,199
2015-05-10,Nagaland,Inspiron 15,45214.95,912230407049.17,1010.01,149
2015-05-11,Arunachal Pradesh,Inspiron 15,43348.22,408243470986.71,3447.59,154
2015-05-12,Andhra Pradesh,Inspiron 15,39442.16,123954287953.94,2961.02,161
2015-05-13,Assam,Inspiron 15,37397.31,1163535798912.93,6956.51,168
2015-05-14,Andhra Pradesh,Inspiron 15,41752.3,1102059282033.08,6703.4,155
2015-05-15,Rajasthan,Inspiron 15,53858.19,1466771882501.4,6341.15,135
2015-05-16,Rajasthan,Inspiron 15,41464.06,1791490300733.82,1146.19,175
2015-05-17,Uttar Pradesh,Inspiron 15,45375.81,250872510821.76,7559.0,133
2015-05-18,Chhattisgarh,Inspiron 15,49060.38,1489843331646.69,3911.77,155
2015-05-19,Rajasthan,Inspiron 15,42272.59,456082693785.41,6985.5,141
2015-05-20,Bihar,Inspiron 15,54435.64,1730536400998.61,6009.21,146
2015-05-21,Chhattisgarh,Inspiron 15,54248.95,1656220676337.15,4084.58,145
2015-05-22,Chhattisgarh,Inspiron 15,40035.65,1127508134472.53,2211.19,170
2015-05-23,Telangana,Inspiron 15,44944.97,1449461317384.29,1849.77,163
2015-05-24,Uttar Pradesh,Inspiron 15,41017.57,697265215049.12,8483.66,136
2015-05-25,Uttarakhand,Inspiron 15,40696.81,995219007972.35,9265.58,178
2015-05-26,Bihar,Inspiron 15,35737.74,1661110105649.9,6848.09,178
2015-05-27,Mizoram,Inspiron 15,47191.29,972603874629.11,1930.91,150
2015-05-28,Himachal Pradesh,Inspiron 15,45053.58,779816704118.34,4618.24,141
2015-05-29,Haryana,Inspiron 15,36029.58,1039003649775.57,7560.45,157
2015-05-30,Jharkhand,Inspiron 15,40572.93,1673673579630.72,8018.39,167
2015-05-31,Mizoram,Inspiron 15,53165.32,736895290004.66,2063.97,126
2015-06-01,Meghalaya,Inspiron 15,39791.24,430147026957.91,1000.28,163
2015-06-02,West Bengal,Inspiron 15,37897.9,1452826638628.48,7409.23,169
2015-06-03,Arunachal Pradesh,Inspiron 15,44789.06,1669358604145.36,4209.37,165
2015-06-04,Jharkhand,Inspiron 15,54713.01,291211209194.71,3290.33,122
2015-06-05,Manipur,Inspiron 15,39841.11,555760814236.29,1116.08,181
2015-06-06,Goa,Inspiron 15,48442.71,369746780545.89,5862.69,117
2015-06-07,Meghalaya,Inspiron 15,50232.39,761088682006.12,8660.36,126
2015-06-08,Uttarakhand,Inspiron 15,39752.75,955666859920.28,9618.68,156
2015-06-09,Uttarakhand,Inspiron 15,49564.33,1522770040230.28,6091.7,144
2015-06-10,Chhattisgarh,Inspiron 15,42355.66,1337180411275.18,5630.15,162
2015-06-11,Kerala,Inspiron 15,47646.12,1279764278209.02,1765.51,157
2015-06-12,Chhattisgarh,Inspiron 15,47670.59,769512398558.34,5939.86,158
2015-06-13,Sikkim,Inspiron 15,45715.49,1698750350861.04,4419.81,153
2015-06-14,Himachal Pradesh,Inspiron 15,36805.8,995445618056.51,6464.22,175
2015-06-15,Gujarat,Inspiron 15,51706.05,1960299382228.79,4498.54,154
2015-06-16,Madhya Pradesh,Inspiron 15,41415.6,1304870062761.9,3162.69,164
2015-06-17,Haryana,Inspiron 15,38730.37,339903008972.56,1854.69,160
2015-06-18,Meghalaya,Inspiron 15,35815.5,1384737367943.32,3834.27,172
2015-06-19,Karnataka,Inspiron 15,46817.86,717697629320.23,1869.8,132
2015-06-20,Maharashtra,Inspiron 15,48551.29,1404021673703.59,2592.07,159
2015-06-21,Uttarakhand,Inspiron 15,35331.76,232318181508.57,9886.03,156
2015-06-22,Meghalaya,Inspiron 15,45241.86,432274730634.32,4996.93,141
2015-06-23,Bihar,Inspiron 15,39529.92,1725900791920.99,5786.85,178
2015-06-24,Odisha,Inspiron 15,47903.46,531641158344.68,8862.57,126
2015-06-25,Himachal Pradesh,Inspiron 15,38487.33,1690378137961.59,9960.12,166
2015-06-26,Sikkim,Inspiron 15,48818.75,630624568063.38,6244.43,136
2015-06-27,Meghalaya,Inspiron 15,42734.71,1321475629111.54,8312.26,136
2015-06-28,Chhattisgarh,Inspiron 15,53734.6,1418886089668.68,3942.47,149
2015-06-29,Sikkim,Inspiron 15,37750.42,1074044030975.6,3751.7,160
2015-06-30,Delhi,Inspiron 15,41821.33,680090285723.79,4624.33,151
2015-07-01,Chhattisgarh,Inspiron 15,37269.47,504024315105.08,7052.57,167
2015-07-02,Kerala,Inspiron 15,53493.87,163059773668.61,7139.73,102
2015-07-03,Tamil Nadu,Inspiron 15,52546.79,677498162357.38,3837.15,130
2015-07-04,Tripura,Inspiron 15,40158.83,1341009302009.44,2198.89,191
2015-07-05,Meghalaya,Inspiron 15,48199.68,1882779155052.12,6691.57,150
2015-07-06,Arunachal Pradesh,Inspiron 15,51344.44,1755288516299.8,2154.93,163
2015-07-07,Assam,Inspiron 15,46104.02,1555523075417.08,6206.43,164
2015-07-08,Tamil Nadu,Inspiron 15,45593.01,1598049952181.27,7240.8,158
2015-07-09,Uttar Pradesh,Inspiron 15,39837.05,1363471316604.39,7305.5,152
2015-07-10,Manipur,Inspiron 15,36862.06,594545029375.41,7781.25,153
2015-07-11,Tamil Nadu,Inspiron 15,52944.32,1823670558341.08,8855.73,148
2015-07-12,Maharashtra,Inspiron 15,53008.36,1374391392621.08,5499.63,141
2015-07-13,Telangana,Inspiron 15,47662.03,1164837198862.84,7572.24,128
2015-07-14,Maharashtra,Inspiron 15,41780.6,310879991505.61,6572.55,145
2015-07-15,Telangana,Inspiron 15,41984.19,949405533232.21,2679.76,174
2015-07-16,Madhya Pradesh,Inspiron 15,49519.11,974680715283.66,1231.21,148
2015-07-17,Nagaland,Inspiron 15,52942.21,1742670858093.07,3560.87,126
2015-07-18,Odisha,Inspiron 15,52741.73,1138631618356.8,4987.3,131
2015-07-19,Kerala,Inspiron 15,50597.51,822761043043.78,6553.95,153
2015-07-20,Gujarat,Inspiron 15,47840.63,1955920624170.25,8649.63,165
2015-07-21,Tripura,Inspiron 15,36682.8,310369127320.0,2766.21,163
2015-07-22,Jharkhand,Inspiron 15,38232.57,902842013792.69,2129.95,187
2015-07-23,Arunachal Pradesh,Inspiron 15,52971.08,179846882825.67,9671.32,121
2015-07-24,Kerala,Inspiron 15,47128.58,1505817829457.17,1972.4,158
2015-07-25,Haryana,Inspiron 15,35183.94,1844345449178.39,5306.42,186
2015-07-26,Tamil Nadu,Inspiron 15,37029.43,632070926145.93,6270.07,165
2015-07-27,Chhattisgarh,Inspiron 15,48270.04,1730849185918.33,5872.37,157
2015-07-28,Manipur,Inspiron 15,35101.23,655214637877.61,1774.29,161
2015-07-29,Tamil Nadu,Inspiron 15,38216.16,1830463307123.44,1513.24,205
2015-07-30,Tripura,Inspiron 15,45974.68,1532527616833.89,1949.35,158
2015-07-31,Meghalaya,Inspiron 15,48837.9,1629322875998.73,6270.29,154
2015-08-01,Andhra Pradesh,Inspiron 15,48039.23,134212455640.86,5899.1,129
2015-08-02,Goa,Inspiron 15,39485.39,1929339678440.65,3103.67,207
2015-08-03,Odisha,Inspiron 15,49243.58,1480674884933.61,6739.97,144
2015-08-04,Arunachal Pradesh,Inspiron 15,39744.98,679027081233.65,8380.61,146
2015-08-05,Maharashtra,Inspiron 15,41507.99,1675849863231.81,1374.21,163
2015-08-06,Jharkhand,Inspiron 15,49929.83,634890276988.37,5483.17,134
2015-08-07,Gujarat,Inspiron 15,47992.66,1758232295175.64,7203.79,139
2015-08-08,Nagaland,Inspiron 15,51984.47,313902741782.68,3270.81,138
2015-08-09,Madhya Pradesh,Inspiron 15,48152.26,1437003357175.51,3769.94,162
2015-08-10,Assam,Inspiron 15,46366.17,1127327105625.33,6522.74,149
2015-08-11,Gujarat,Inspiron 15,36873.5,283415493371.34,9081.42,166
2015-08-12,Mizoram,Inspiron 15,42354.32,559598273691.79,8289.32,139
2015-08-13,Manipur,Inspiron 15,40304.05,123567668926.9,6248.17,156
2015-08-14,Arunachal Pradesh,Inspiron 15,39879.79,990659134382.56,7572.0,156
2015-08-15,Manipur,Inspiron 15,54460.21,672403995444.0,4283.4,127
2015-08-16,Maharashtra,Inspiron 15,42861.95,1236879220165.74,6768.69,175
2015-08-17,Odisha,Inspiron 15,52840.93,664751834646.37,5195.63,114
2015-08-18,Arunachal Pradesh,Inspiron 15,47622.77,669846311863.27,2709.43,147
2015-08-19,Chhattisgarh,Inspiron 15,50896.23,1512067077590.05,7315.64,143
2015-08-20,Gujarat,Inspiron 15,45052.74,191471388358.87,6008.18,129
2015-08-21,Arunachal Pradesh,Inspiron 15,46538.08,1815500490864.78,4227.59,187
2015-08-22,Haryana,Inspiron 15,44850.35,1719301361343.24,9202.05,158
2015-08-23,Bihar,Inspiron 15,38904.86,1368828898130.17,1188.41,176
2015-08-24,Sikkim,Inspiron 15,49449.04,1227120983204.03,3841.96,136
2015-08-25,Uttar Pradesh,Inspiron 15,40615.45,1795374746465.34,1511.93,171
2015-08-26,Maharashtra,Inspiron 15,35486.32,452127341104.56,7898.75,164
2015-08-27,Andhra Pradesh,Inspiron 15,47909.45,250041408162.57,7318.97,138
2015-08-28,Odisha,Inspiron 15,38542.21,555069322828.12,3982.17,156
2015-08-29,Jharkhand,Inspiron 15,53809.17,1609698729530.36,7080.97,133
2015-08-30,Uttarakhand,Inspiron 15,54078.57,165873506780.32,4563.44,111
2015-08-31,Uttarakhand,Inspiron 15,53297.29,1207332986658.63,7806.28,124
2015-09-01,West Bengal,Inspiron 15,42403.17,1991331280763.49,5087.65,177
2015-09-02,Punjab,Inspiron 15,35309.13,1725822578291.32,4710.52,180
2015-09-03,Andhra Pradesh,Inspiron 15,53566.37,1090746809182.82,9412.57,131
2015-09-04,Haryana,Inspiron 15,43563.68,220917727644.62,3257.91,128
2015-09-05,Telangana,Inspiron 15,54333.1,1679609677332.85,2084.03,130
2015-09-06,Madhya Pradesh,Inspiron 15,54272.4,1238059165536.7,6260.89,147
2015-09-07,Chhattisgarh,Inspiron 15,52060.19,318372694413.18,9723.9,118
2015-09-08,Tamil Nadu,Inspiron 15,40888.98,278328841164.38,4400.55,157
2015-09-09,Nagaland,Inspiron 15,42701.95,1828290956929.53,1558.33,177
2015-09-10,Uttarakhand,Inspiron 15,52022.73,1371480499582.35,4053.75,142
2015-09-11,Goa,Inspiron 15,41338.44,1675644918701.84,5553.38,160
2015-09-12,Madhya Pradesh,Inspiron 15,38389.85,1770059910536.31,2457.31,179
2015-09-13,Delhi,Inspiron 15,46136.03,1186367468891.81,6922.92,147
2015-09-14,Odisha,Inspiron 15,53723.1,1083148068334.58,9979.74,135
2015-09-15,Tripura,Inspiron 15,48920.6,917812079609.88,5065.66,129
2015-09-16,Mizoram,Inspiron 15,46401.22,702198516803.13,4192.56,160
2015-09-17,Goa,Inspiron 15,36943.53,925732325631.55,4606.34,169
2015-09-18,Chhattisgarh,Inspiron 15,47300.14,1570371345887.3,2036.32,154
2015-09-19,Chhattisgarh,Inspiron 15,54801.08,1243654518928.75,8949.46,130
2015-09-20,Goa,Inspiron 15,37801.68,1795794250914.21,4733.43,166
2015-09-21,Himachal Pradesh,Inspiron 15,45366.59,942422027320.46,4485.47,168
2015-09-22,Odisha,Inspiron 15,52547.46,1253470199565.63,6937.21,147
2015-09-23,Nagaland,Inspiron 15,49815.37,1299484350874.78,4978.3,139
2015-09-24,Chhattisgarh,Inspiron 15,48940.31,1224224608382.02,6834.1,131
2015-09-25,Punjab,Inspiron 15,49049.68,1435004168862.48,1553.02,144
2015-09-26,West Bengal,Inspiron 15,42189.82,551123589912.13,8323.51,147
2015-09-27,Bihar,Inspiron 15,40871.84,1073491177337.0,9464.54,143
2015-09-28,Uttar Pradesh,Inspiron 15,51187.22,298027125335.86,6838.89,125
2015-09-29,Mizoram,Inspiron 15,51202.27,830571522525.14,9591.09,139
2015-09-30,Bihar,Inspiron 15,52341.45,1026567430380.4,2362.89,146
2015-10-01,Uttarakhand,Inspiron 15,53264.81,1339226093136.4,5296.75,177
2015-10-02,Karnataka,Inspiron 15,45226.85,1906008999913.79,6416.26,202
2015-10-03,Madhya Pradesh,Inspiron 15,45030.33,1241237026441.88,6235.63,202
2015-10-04,Tamil Nadu,Inspiron 15,50965.9,1512828440735.46,4613.16,189
2015-10-05,Manipur,Inspiron 15,47999.28,1061905513040.89,4042.76,205
2015-10-06,Rajasthan,Inspiron 15,49039.34,1304797659615.03,2141.42,171
2015-10-07,Haryana,Inspiron 15,50915.85,234771210654.17,4525.68,174
2015-10-08,Bihar,Inspiron 15,52800.11,583344003599.51,2463.95,168
2015-10-09,Goa,Inspiron 15,41759.9,787520877089.76,7609.29,188
2015-10-10,Tamil Nadu,Inspiron 15,42511.66,997737374512.38,2879.48,221
2015-10-11,Maharashtra,Inspiron 15,36879.64,186732616454.53,1527.09,215
2015-10-12,Maharashtra,Inspiron 15,46565.6,366045785351.3,5971.3,160
2015-10-13,Nagaland,Inspiron 15,35718.85,625947184803.48,6357.07,206
2015-10-14,Haryana,Inspiron 15,44311.96,1945912112712.0,8847.22,196
2015-10-15,Delhi,Inspiron 15,45852.89,729559313495.8,6192.83,177
2015-10-16,Maharashtra,Inspiron 15,40730.83,1015878010412.96,4109.33,191
2015-10-17,Uttar Pradesh,Inspiron 15,46816.67,472585654202.95,8227.11,180
2015-10-18,Meghalaya,Inspiron 15,35610.0,1260482135043.96,5862.51,217
2015-10-19,Jharkhand,Inspiron 15,35746.96,633298109480.35,1713.52,238
2015-10-20,Jharkhand,Inspiron 15,51452.01,493285899033.01,6092.66,161
2015-10-21,Punjab,Inspiron 15,42203.81,1081487994047.36,9172.17,184
2015-10-22,Delhi,Inspiron 15,37541.21,110461018404.8,4566.81,196
2015-10-23,Tamil Nadu,Inspiron 15,45444.87,114561662033.53,3666.93,171
2015-10-24,Sikkim,Inspiron 15,50399.87,516230737293.53,2291.23,160
2015-10-25,Andhra Pradesh,Inspiron 15,39316.42,169770588751.56,2363.01,205
2015-10-26,Maharashtra,Inspiron 15,47457.81,305248932848.31,4894.94,178
2015-10-27,Karnataka,Inspiron 15,36706.95,743835233743.63,6361.12,218
2015-10-28,Arunachal Pradesh,Inspiron 15,36033.63,1624912791201.64,1725.54,249
2015-10-29,West Bengal,Inspiron 15,45627.09,1186892422401.67,9456.12,197
2015-10-30,Nagaland,Inspiron 15,45812.7,1074068679317.19,7796.2,185
2015-10-31,Tripura,Inspiron 15,47748.6,657628764095.43,6279.62,181
2015-11-01,West Bengal,Inspiron 15,49521.83,1870332066922.35,8455.95,201
2015-11-02,Goa,Inspiron 15,54517.04,854328578350.66,1721.68,173
2015-11-03,Andhra Pradesh,Inspiron 15,45326.01,265476256911.97,5291.55,184
2015-11-04,Haryana,Inspiron 15,41459.13,1272426380623.82,6670.84,212
2015-11-05,Chhattisgarh,Inspiron 15,50903.72,316292947605.54,8457.88,174
2015-11-06,Uttarakhand,Inspiron 15,40416.65,755923971323.22,8051.23,203
2015-11-07,Kerala,Inspiron 15,43779.43,1064082683563.84,3493.62,195
2015-11-08,Madhya Pradesh,Inspiron 15,36569.13,1761022796901.83,9467.92,223
2015-11-09,Tripura,Inspiron 15,35507.01,1037738502646.23,2119.11,250
2015-11-10,Chhattisgarh,Inspiron 15,54252.97,1434291655460.16,8876.2,175
2015-11-11,Himachal Pradesh,Inspiron 15,51719.6,1986351994098.23,9738.46,168
2015-11-12,Gujarat,Inspiron 15,48919.48,349829327806.17,2594.38,183
2015-11-13,Chhattisgarh,Inspiron 15,43179.06,621989898487.09,7498.59,206
2015-11-14,Himachal Pradesh,Inspiron 15,38465.89,849694543635.53,1362.57,193
2015-11-15,Goa,Inspiron 15,38128.74,901473539223.78,4648.81,201
2015-11-16,Himachal Pradesh,Inspiron 15,40004.86,880940043004.54,5646.55,216
2015-11-17,Gujarat,Inspiron 15,45984.53,1824460904857.45,6225.81,215
2015-11-18,Uttarakhand,Inspiron 15,49291.92,1456662024487.03,9423.44,187
2015-11-19,West Bengal,Inspiron 15,48203.95,1255019906772.34,7050.26,181
2015-11-20,West Bengal,Inspiron 15,40598.68,687808163939.29,5331.5,200
2015-11-21,Uttarakhand,Inspiron 15,54097.31,1665201730020.46,8287.08,195
2015-11-22,Karnataka,Inspiron 15,49757.94,1914614971821.48,9554.8,177
2015-11-23,Haryana,Inspiron 15,46087.08,1660276736845.43,1198.6,229
2015-11-24,Meghalaya,Inspiron 15,47234.41,102973699863.8,9842.69,157
2015-11-25,Andhra Pradesh,Inspiron 15,43392.0,1309162603348.47,1775.19,209
2015-11-26,Kerala,Inspiron 15,39954.62,197157224739.99,8329.48,199
2015-11-27,Madhya Pradesh,Inspiron 15,42119.45,589453718634.07,3523.01,189
2015-11-28,Tamil Nadu,Inspiron 15,50156.92,213096930660.77,2189.62,164
2015-11-29,Andhra Pradesh,Inspiron 15,35287.87,1247211360603.84,4958.7,240
2015-11-30,Jharkhand,Inspiron 15,37321.45,1404520835635.95,6795.61,211
2015-12-01,Maharashtra,Inspiron 15,35920.05,317526512325.22,4428.57,195
